"#","Brand","Exact bottle / product","Product type","What we need","Existing product/source page","Current inactive reason","Image URL / result"
"1","Sand + Fog","Amber & Jasmine","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amber-jasmine-perfume-oil-rollerball","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"2","Sand + Fog","Amber & Neroli","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amber-neroli-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"3","Sand + Fog","Amber & Pear","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amber-pear-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"4","Sand + Fog","Amber Bloom","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amber-bloom-perfume-oil","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"5","Sand + Fog","Amber Cove","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amber-cove-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"6","Sand + Fog","Amber Musk","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amber-musk-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"7","Sand + Fog","Amoré","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/amoe-perfume-oil","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"8","Sand + Fog","Banana Blossom","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/banana-blossom-50-ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"9","Sand + Fog","Banana Cream","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/banana-cream-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"10","Sand + Fog","Beach Poppy","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/beach-poppy-50-ml-perfume-oil-rollerball","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"11","Sand + Fog","Bergamot & Musk","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bergamot-musk-50-ml-perfume-oil-rollerball","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"12","Sand + Fog","Bergamot & Neroli","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bergamot-neroli-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"13","Sand + Fog","Bergamot & Oud","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bergamot-oud-50-ml-perfume-oil-rollerball","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"14","Sand + Fog","Bergamot Bliss","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bergamot-bliss-50-ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"15","Sand + Fog","Bergamot Bloom","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bergamot-bloom-50-ml-perfume-oil-rollerball","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"16","Sand + Fog","Berries & Cream","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/berries-cream-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"17","Sand + Fog","Bloom","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bloom-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"18","Sand + Fog","Bourbon & Vanilla","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bourbon-vanilla-50-ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"19","Sand + Fog","Bubble Gum","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/bubble-gum-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"20","Sand + Fog","California Beach House","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/california-beach-house-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"21","Sand + Fog","Candy & Cream","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/candy-cream-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"22","Sand + Fog","Candy Cloud","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/candy-cloud-50-ml-perfume-oil-dropper-copy","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"23","Sand + Fog","Caramel & Cream","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/caramel-cream-50ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"24","Sand + Fog","Caramel Macchiato","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/caramel-macchiato-50-ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"25","Sand + Fog","Cedarwood & Fig","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/cedarwood-fig-50-ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"26","Sand + Fog","Cherry Kiss","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/cherry-kiss-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
"27","Sand + Fog","Cherry Silk","Perfume Oil","Exact perfume-oil bottle image + direct image URL","https://sandandfoghome.com/products/cherry-silk-50-ml-perfume-oil-dropper","CANONICAL_PRODUCT_CLASS_OIL_BODYCARE_CORRECTION_V1",""
